id,airport_code,captured_at_local,taxis_in_holding,taxis_at_curb,active_lanes_json,lane_capacity_per_15m
3001,BKK,2025-10-01 00:00,168,44,"[60, 62, 63, 65]",32
3002,BKK,2025-10-01 00:15,135,33,"[61, 63, 66, 70]",16
3003,BKK,2025-10-01 00:30,128,34,"[62, 63, 64, 71]",20
3004,BKK,2025-10-01 00:45,146,44,"[61, 64, 65, 70]",28
3005,BKK,2025-10-01 01:00,145,37,"[62, 63, 64, 68]",16
3006,BKK,2025-10-01 01:15,150,37,"[60, 62, 64, 71]",16
3007,BKK,2025-10-01 01:30,136,26,"[63, 65, 68, 72]",20
3008,BKK,2025-10-01 01:45,116,40,,20
3009,BKK,2025-10-01 02:00,101,24,"[61, 68, 72]",12
3010,BKK,2025-10-01 02:15,95,29,"[60, 66, 70]",15
3011,BKK,2025-10-01 02:30,84,22,"[60, 65, 69]",12
3012,BKK,2025-10-01 02:45,93,29,"[60, 62, 69]",27
3013,BKK,2025-10-01 03:00,59,21,"[61, 62]",8
3014,BKK,2025-10-01 03:15,92,33,"[62, 66]",12
3015,BKK,2025-10-01 03:30,114,31,"[63, 67]",12
3016,BKK,2025-10-01 03:45,77,22,"[65, 71]",10
3017,BKK,2025-10-01 04:00,78,21,"[61, 66]",8
3018,BKK,2025-10-01 04:15,91,27,"[61, 71]",8
3019,BKK,2025-10-01 04:30,72,17,"[70, 71]",8
3020,BKK,2025-10-01 04:45,86,26,"[61, 70]",8
3021,BKK,2025-10-01 05:00,178,56,"[61, 62, 66, 68, 72]",25
3022,BKK,2025-10-01 05:15,166,44,"[60, 63, 65, 69, 70, 72]",30
3023,BKK,2025-10-01 05:30,211,51,"[60, 61, 67, 70, 71, 72]",24
3024,BKK,2025-10-01 05:45,168,47,"[60, 62, 69, 71, 72]",30
3025,BKK,2025-10-01 06:00,210,49,"[60, 61, 62, 66, 69, 70, 71]",42
3026,BKK,2025-10-01 06:15,176,61,"[60, 62, 63, 65, 68, 69]",36
3027,BKK,2025-10-01 06:30,219,59,"[64, 66, 67, 68, 69, 70]",42
3028,BKK,2025-10-01 06:45,224,51,"[61, 62, 64, 66, 71, 72]",36
3029,BKK,2025-10-01 07:00,255,62,"[60, 61, 63, 64, 65, 66, 67, 71]",56
3030,BKK,2025-10-01 07:15,260,58,"[61, 63, 64, 67, 68, 69, 72]",42
3031,BKK,2025-10-01 07:30,253,75,"[60, 61, 63, 65, 66, 67, 71, 72]",56
3032,BKK,2025-10-01 07:45,277,82,"[60, 62, 64, 65, 66, 68, 69, 70]",56
3033,BKK,2025-10-01 08:00,104,50,"[61, 66, 69]",27
3034,BKK,2025-10-01 08:15,255,41,"[60, 62, 65, 66]",40
3035,BKK,2025-10-01 08:30,200,52,"[60, 62, 63, 67]",40
3036,BKK,2025-10-01 08:45,191,60,"[65, 69, 72]",24
3037,BKK,2025-10-01 09:00,228,66,"[60, 61, 62, 67, 71]",40
3038,BKK,2025-10-01 09:15,199,48,"[60, 61, 63, 64, 69]",30
3039,BKK,2025-10-01 09:30,255,67,"[62, 64, 65, 67, 72]",40
3040,BKK,2025-10-01 09:45,242,63,"[63, 64, 67, 69, 70]",55
3041,BKK,2025-10-01 10:00,201,54,"[62, 67, 69, 71]",36
3042,BKK,2025-10-01 10:15,169,38,"[60, 61, 64, 71]",44
3043,BKK,2025-10-01 10:30,247,64,"[63, 68, 69, 70]",40
3044,BKK,2025-10-01 10:45,241,63,"[60, 63, 64, 66]",32
3045,BKK,2025-10-01 11:00,219,67,"[61, 62, 71, 72]",20
