bucket_time_local,confirmed_qr_count,total_pax,total_luggage,avg_pax_per_signal,arriving_flights,total_pax_est,delay_avg_min,avg_taxis_at_curb,avg_active_lanes,avg_lane_capacity,rain_mm,wind_kmh,temp_c,hour_of_day,day_of_week,is_weekend,avg_wait_min,is_pwt_breach,wait_lag1,wait_lag4,wait_lag96
2025-10-02 00:00:00,79.0,153.0,156.0,1.9367088607594938,12.0,2640.0,0.16666666666666666,47.0,5.0,30.0,6.522440120943194,15.80818012523817,26.83878444171077,0,3,0,90.0,1,54.86,39.24,7.46
2025-10-02 00:15:00,74.0,151.0,119.0,2.0405405405405403,7.0,2030.0,2.142857142857143,40.0,5.0,25.0,6.522440120943194,15.80818012523817,26.83878444171077,0,3,0,66.09,1,90.0,42.9,6.2
2025-10-02 00:30:00,44.0,87.0,70.0,1.9772727272727273,13.0,2990.0,1.2307692307692308,42.0,5.0,20.0,6.522440120943194,15.80818012523817,26.83878444171077,0,3,0,90.0,1,66.09,67.63,75.01
2025-10-02 00:45:00,48.0,86.0,81.0,1.7916666666666667,11.0,2920.0,0.0,56.0,5.0,35.0,6.522440120943194,15.80818012523817,26.83878444171077,0,3,0,63.2,1,90.0,54.86,76.34
2025-10-02 01:00:00,76.0,133.0,115.0,1.75,14.0,3660.0,1.1428571428571428,36.0,5.0,35.0,0.0,15.806978027542067,30.768465819638745,1,3,0,53.47,1,63.2,90.0,70.58
2025-10-02 01:15:00,86.0,157.0,131.0,1.8255813953488371,10.0,1980.0,1.3,50.0,5.0,25.0,0.0,15.806978027542067,30.768465819638745,1,3,0,42.02,1,53.47,66.09,54.71
2025-10-02 01:30:00,61.0,116.0,85.0,1.901639344262295,9.0,2170.0,1.1111111111111112,40.0,5.0,20.0,0.0,15.806978027542067,30.768465819638745,1,3,0,63.07,1,42.02,90.0,56.71
2025-10-02 01:45:00,39.0,75.0,82.0,1.9230769230769231,4.0,880.0,0.25,57.0,5.0,25.0,0.0,15.806978027542067,30.768465819638745,1,3,0,63.89,1,63.07,63.2,81.12
2025-10-02 02:00:00,31.0,72.0,48.0,2.3225806451612905,3.0,640.0,1.6666666666666667,36.0,2.0,12.0,0.0,13.820869804450242,30.816358580465213,2,3,0,90.0,1,63.89,53.47,67.22
2025-10-02 02:15:00,20.0,32.0,28.0,1.6,1.0,160.0,0.0,25.0,2.0,12.0,0.0,13.820869804450242,30.816358580465213,2,3,0,56.3,1,90.0,42.02,90.0
2025-10-02 02:30:00,7.0,9.0,8.0,1.2857142857142858,4.0,970.0,1.0,29.0,2.0,12.0,0.0,13.820869804450242,30.816358580465213,2,3,0,84.58,1,56.3,63.07,73.02
2025-10-02 02:45:00,14.0,29.0,20.0,2.0714285714285716,2.0,320.0,0.5,20.0,2.0,8.0,0.0,13.820869804450242,30.816358580465213,2,3,0,21.99,0,84.58,63.89,52.71
2025-10-02 03:00:00,11.0,21.0,19.0,1.9090909090909092,0.0,0.0,0.0,35.0,2.0,8.0,0.0,2.0,29.479424507875404,3,3,0,58.61,1,21.99,90.0,64.82
2025-10-02 03:15:00,5.0,8.0,8.0,1.6,1.0,320.0,0.0,26.0,2.0,10.0,0.0,2.0,29.479424507875404,3,3,0,46.87,1,58.61,56.3,80.85
2025-10-02 03:30:00,5.0,12.0,5.0,2.4,1.0,270.0,0.0,20.0,2.0,8.0,0.0,2.0,29.479424507875404,3,3,0,14.55,0,46.87,84.58,22.62
2025-10-02 03:45:00,7.0,11.0,10.0,1.5714285714285714,0.0,0.0,0.0,20.0,2.0,8.0,0.0,2.0,29.479424507875404,3,3,0,83.38,1,14.55,21.99,25.27
2025-10-02 04:00:00,6.0,11.0,7.0,1.8333333333333333,2.0,590.0,5.0,27.0,3.0,24.0,0.0,14.435235341190856,27.46178676916144,4,3,0,27.72,0,83.38,58.61,55.16
2025-10-02 04:15:00,8.0,16.0,21.0,2.0,5.0,1370.0,0.4,22.0,3.0,15.0,0.0,14.435235341190856,27.46178676916144,4,3,0,13.44,0,27.72,46.87,90.0
2025-10-02 04:30:00,18.0,41.0,29.0,2.2777777777777777,3.0,720.0,3.0,34.0,3.0,24.0,0.0,14.435235341190856,27.46178676916144,4,3,0,54.95,1,13.44,14.55,72.41
2025-10-02 04:45:00,22.0,36.0,33.0,1.6363636363636365,1.0,270.0,0.0,30.0,3.0,12.0,0.0,14.435235341190856,27.46178676916144,4,3,0,73.82,1,54.95,83.38,51.2
2025-10-02 05:00:00,13.0,18.0,23.0,1.3846153846153846,4.0,880.0,2.25,51.0,4.0,28.0,0.0,14.458803882677511,24.422375953718397,5,3,0,19.79,0,73.82,27.72,42.49
2025-10-02 05:15:00,16.0,27.0,37.0,1.6875,3.0,830.0,2.0,40.0,3.0,15.0,0.0,14.458803882677511,24.422375953718397,5,3,0,16.47,0,19.79,13.44,29.39
2025-10-02 05:30:00,23.0,48.0,36.0,2.0869565217391304,7.0,1550.0,1.7142857142857142,32.0,3.0,18.0,0.0,14.458803882677511,24.422375953718397,5,3,0,61.01,1,16.47,54.95,76.86
